name,kcal,protein,fat,carb,source
白米饭,130,2.7,0.3,28.2,USDA
糙米饭,123,2.7,1.0,25.6,USDA
意面,158,5.8,0.9,30.9,USDA
全麦意面,124,5.3,0.5,26.5,USDA
面条,110,3.9,0.4,22.5,CFCT
玉米,96,3.4,1.5,21.0,USDA
红薯,90,2.0,0.2,20.7,USDA
土豆,87,1.9,0.1,20.1,USDA
燕麦粥,71,2.5,1.5,12.0,USDA
燕麦片,389,16.9,6.9,66.3,USDA（干重值）
荞麦,343,12.6,3.1,71.5,USDA（干重值）
小米,378,11.0,4.2,72.9,USDA（干重值）
藜麦,368,14.1,6.1,64.2,USDA（干重值）
粉丝,338,0.8,0.2,83.7,CFCT（干重值）
饺子皮,253,8.0,1.0,53.0,CFCT
全麦面包,247,13.0,3.4,41.0,USDA
白面包,265,9.0,3.2,49.0,USDA
贝果,257,10.0,1.7,50.5,USDA
馒头,221,7.0,1.1,47.0,CFCT
鸡胸肉,165,31.0,3.6,0.0,USDA
鸡腿肉,209,26.0,10.9,0.0,USDA
鸡蛋,155,12.6,10.6,1.1,USDA
金枪鱼（水浸罐头）,116,25.5,0.8,0.0,USDA
鸡翅,191,17.5,13.3,0.0,USDA（生重值）
瘦牛肉,131,22.0,4.4,0.0,USDA（生重值）
牛腱肉,124,21.0,3.6,0.0,USDA（生重值）
猪里脊,143,21.0,6.0,0.0,USDA（生重值）
猪五花肉,518,9.3,53.0,0.0,USDA（生重值）
猪瘦肉,143,20.9,6.3,0.0,USDA（生重值）
羊肉,143,20.5,6.0,0.0,USDA（生重值）
三文鱼,208,20.4,13.4,0.0,USDA（生重值）
鳕鱼,82,17.8,0.7,0.0,USDA（生重值）
虾,85,20.1,0.5,0.0,USDA（生重值）
罗非鱼,96,20.1,1.7,0.0,USDA（生重值）
巴沙鱼,90,16.5,2.5,0.0,典型值（生重值）
鸭胸肉,123,19.5,4.3,0.0,USDA（生重值）
蛋清,52,10.9,0.2,0.7,USDA
蛋黄,322,15.9,26.5,3.6,USDA
北豆腐,144,17.3,8.7,2.8,USDA
南豆腐,55,5.3,2.7,2.0,USDA
豆浆,33,3.0,1.8,1.5,USDA
牛奶（全脂）,61,3.2,3.3,4.8,USDA
牛奶（脱脂）,34,3.4,0.1,5.0,USDA
希腊酸奶,59,10.2,0.4,3.6,USDA
酸奶（原味）,61,3.5,3.3,4.7,USDA
切达奶酪,403,24.9,33.1,1.3,USDA
马苏里拉奶酪,280,27.5,17.1,3.1,USDA
乳清蛋白粉,400,80.0,5.0,8.0,典型值
西兰花,34,2.8,0.4,6.6,USDA
菠菜,23,2.9,0.4,3.6,USDA
生菜,15,1.4,0.2,2.9,USDA
番茄,18,0.9,0.2,3.9,USDA
圣女果,18,0.9,0.2,3.9,USDA
黄瓜,15,0.7,0.1,3.6,USDA
胡萝卜,41,0.9,0.2,9.6,USDA
洋葱,40,1.1,0.1,9.3,USDA
青椒,20,0.9,0.2,4.6,USDA
红椒,31,1.0,0.3,6.0,USDA
白菜,13,1.5,0.2,2.2,CFCT
油菜,23,1.8,0.5,3.8,CFCT
卷心菜,25,1.3,0.1,5.8,USDA
花菜,25,1.9,0.3,5.0,USDA
白蘑菇,22,3.1,0.3,3.3,USDA
香菇,34,2.2,0.3,6.8,CFCT
南瓜,26,1.0,0.1,6.5,USDA
茄子,25,1.0,0.2,5.9,USDA
芦笋,20,2.2,0.1,3.9,USDA
芹菜,16,0.7,0.2,3.0,USDA
黄豆芽,44,4.5,1.6,4.5,CFCT
绿豆芽,30,3.0,0.2,4.0,CFCT
豌豆,81,5.4,0.4,14.5,USDA
秋葵,33,1.9,0.2,7.5,USDA
西葫芦,17,1.2,0.3,3.1,USDA
白萝卜,18,0.6,0.1,4.1,CFCT
香蕉,89,1.1,0.3,22.8,USDA
苹果,52,0.3,0.2,13.8,USDA
橙子,47,0.9,0.1,11.8,USDA
蓝莓,57,0.7,0.3,14.5,USDA
草莓,32,0.7,0.3,7.7,USDA
葡萄,69,0.7,0.2,18.1,USDA
西瓜,30,0.6,0.2,7.6,USDA
猕猴桃,61,1.1,0.5,14.7,USDA
牛油果,160,2.0,14.7,8.5,USDA
芒果,60,0.8,0.4,15.0,USDA
梨,57,0.4,0.1,15.2,USDA
桃子,39,0.9,0.3,9.5,USDA
火龙果,51,1.1,0.2,13.3,CFCT
菠萝,50,0.5,0.1,13.1,USDA
杏仁,579,21.2,49.9,21.6,USDA
核桃,654,15.2,65.2,13.7,USDA
腰果,553,18.2,43.9,30.2,USDA
花生,567,25.8,49.2,16.1,USDA
花生酱,588,22.2,50.4,22.3,USDA
奇亚籽,486,16.5,30.7,42.1,USDA
亚麻籽,534,18.3,42.2,28.9,USDA
葵花籽,584,20.8,51.5,20.0,USDA
橄榄油,884,0.0,100.0,0.0,USDA
黄油,717,0.9,81.1,0.1,USDA
蜂蜜,304,0.3,0.0,82.4,USDA
白砂糖,387,0.0,0.0,100.0,USDA
黑咖啡,2,0.3,0.0,0.0,USDA
蛋黄酱,680,1.0,75.0,0.6,USDA
番茄酱,101,1.3,0.2,25.8,典型值
生抽酱油,53,8.1,0.1,4.9,USDA
